protein_id	gene_names	peptides	intensity
P68871	HBB	14	7472500000
P63261	ACTG1	22	6677800000
O95994	AGR2	15	5417000000
P62805	HIST1H4A	13	4239200000
Q99879	HIST1H2BM	11	2790600000
O43707	ACTN4	59	2069200000
P12111	COL6A3	95	1666500000
P08670	VIM	45	1587300000
P21333	FLNA	110	1586300000
Q00610	CLTC	90	1570600000
P13639	EEF2	49	1564400000
P30101	PDIA3	43	1562300000
P04075	ALDOA	30	1485700000
P02751	FN1	70	1480000000
P10809	HSPD1	42	1461400000
P62736	ACTA2	21	1293100000
P00558	PGK1	28	1264100000
P08727	KRT19	38	1190100000
P61978	HNRNPK	16	1186500000
P11142	HSPA8	37	1179600000
P06576	ATP5B	20	1155000000
P56470	LGALS4	14	1111300000
P07237	P4HB	33	1075100000
P49327	FASN	88	1057700000
O75369	FLNB	103	1034900000
P07437	TUBB	28	1033200000
P63104	YWHAZ	18	1004400000
P06733	ENO1	26	998730000
P23528	CFL1	17	925110000
Q06830	PRDX1	21	902460000
P46940	IQGAP1	72	867570000
P25705	ATP5A1	27	866590000
Q15063	POSTN	31	848660000
P05141	SLC25A5	17	845190000
Q99715	COL12A1	94	816170000
Q15084	PDIA6	17	786870000
Q15149	PLEC	158	768020000
P36578	RPL4	25	750480000
P06744	GPI	21	732080000
P08865	RPSA	13	718680000
P60842	EIF4A1	25	718650000
P02545	LMNA	36	717700000
P02679	FGG	18	702850000
P13667	PDIA4	40	692540000
Q14204	DYNC1H1	145	687760000
Q9BQE3	TUBA1C	24	684240000
P40926	MDH2	16	664810000
Q01995	TAGLN	17	655370000
P21796	VDAC1	18	653020000
P50454	SERPINH1	22	627490000
P27797	CALR	20	619420000
P09525	ANXA4	20	611160000
P63244	GNB2L1	20	601030000
Q13813	SPTAN1	108	597650000
Q01082	SPTBN1	87	592280000
P37802	TAGLN2	17	592200000
Q9Y490	TLN1	80	583030000
P26599	PTBP1	15	581230000
P23284	PPIB	16	580980000
P09651	HNRNPA1	25	576350000
P50395	GDI2	35	561570000
Q14764	MVP	36	557260000
P68431	HIST1H3A	5	556450000
P04843	RPN1	25	554100000
Q00839	HNRNPU	30	528710000
P19338	NCL	27	525250000
P22314	UBA1	34	523600000
P49368	CCT3	32	492050000
Q07065	CKAP4	31	481470000
P78371	CCT2	33	480490000
P10412	HIST1H1E	11	477340000
P62979	RPS27A	7	476260000
Q8NBS9	TXNDC5	21	452950000
P62424	RPL7A	13	449690000
P12814	ACTN1	52	449360000
P02675	FGB	26	449290000
P38646	HSPA9	25	449040000
P15924	DSP	87	448900000
Q9HC84	MUC5B	70	445760000
Q14697	GANAB	31	443370000
P52597	HNRNPF	12	438600000
P12109	COL6A1	21	433790000
P62241	RPS8	12	422020000
Q96AG4	LRRC59	11	418910000
P17931	LGALS3	11	417880000
P05387	RPLP2	7	411630000
P26641	EEF1G	21	404910000
P62258	YWHAE	18	400150000
P24821	TNC	52	395280000
Q14974	KPNB1	27	393620000
Q02878	RPL6	17	386510000
P50991	CCT4	27	373820000
P53621	COPA	51	369130000
P62701	RPS4X	18	369080000
Q15366	PCBP2	13	361700000
P61604	HSPE1	8	359190000
P32119	PRDX2	15	358370000
P50990	CCT8	36	356980000
P23396	RPS3	25	353080000
P15880	RPS2	14	350520000
P61247	RPS3A	16	349450000
P17987	TCP1	28	348680000
P98160	HSPG2	69	346930000
P16401	HIST1H1B	10	344080000
P48735	IDH2	22	342010000
Q9Y6R7	FCGBP	63	341000000
P14923	JUP	30	340970000
P04844	RPN2	16	337590000
P46782	RPS5	11	335480000
Q92841	DDX17	25	334210000
P42704	LRPPRC	61	331170000
P35555	FBN1	65	331090000
P62277	RPS13	10	328120000
P48643	CCT5	23	326690000
P35232	PHB	14	324210000
Q15365	PCBP1	16	320960000
P52272	HNRNPM	31	318800000
O00299	CLIC1	13	318720000
P53396	ACLY	35	312970000
P05091	ALDH2	22	312810000
P01833	PIGR	23	303610000
P02788	LTF	41	301020000
Q99832	CCT7	30	300650000
P12956	XRCC6	25	299680000
P18206	VCL	43	297230000
Q07020	RPL18	7	293690000
P53618	COPB1	34	285460000
P34932	HSPA4	30	283520000
O60506	SYNCRIP	25	282700000
P01023	A2M	44	280590000
P08123	COL1A2	14	277800000
P46777	RPL5	12	274900000
Q13838	DDX39B	17	271540000
P13010	XRCC5	33	266690000
P04083	ANXA1	19	266680000
Q9Y678	COPG1	34	266470000
Q12864	CDH17	24	263580000
P68366	TUBA4A	23	259420000
