protein_id	gene_names	peptides	intensity
Q15149	PLEC	220	952570000
Q14204	DYNC1H1	135	308910000
P21333	FLNA	126	1902300000
Q13813	SPTAN1	119	489460000
O75369	FLNB	117	1170600000
Q01082	SPTBN1	105	463270000
P12111	COL6A3	101	1637600000
P15924	DSP	97	257830000
P98160	HSPG2	97	437690000
P78527	PRKDC	97	177510000
Q9Y490	TLN1	94	437570000
Q7Z406	MYH14	84	264780000
P49327	FASN	83	417060000
Q63HN8	RNF213	83	133670000
Q00610	CLTC	82	874670000
P35555	FBN1	81	662660000
Q92616	GCN1L1	77	111440000
P02751	FN1	76	1149300000
Q99715	COL12A1	71	201440000
P46940	IQGAP1	69	433410000
P24821	TNC	63	356180000
O43707	ACTN4	61	1714100000
P08670	VIM	59	2260900000
P12814	ACTN1	58	356710000
P18206	VCL	58	349020000
Q9Y6R7	FCGBP	58	299360000
P53621	COPA	56	219440000
P42704	LRPPRC	56	151140000
P13639	EEF2	55	775870000
P02788	LTF	55	1056500000
P01023	A2M	50	230750000
Q14315	FLNC	50	38418000
P10809	HSPD1	49	910240000
Q9P2E9	RRBP1	49	236410000
P13667	PDIA4	49	943000000
P02545	LMNA	47	686110000
Q14764	MVP	47	495210000
Q6P2Q9	PRPF8	45	61064000
P30101	PDIA3	43	1080800000
P08727	KRT19	41	2554300000
Q08211	DHX9	40	150900000
P26038	MSN	40	208140000
P34932	HSPA4	38	109640000
P13796	LCP1	38	467320000
Q9HC84	MUC5B	38	49055000
P02675	FGB	37	1344700000
P07237	P4HB	37	1107400000
P42224	STAT1	37	242670000
Q14697	GANAB	37	330380000
P16615	ATP2A2	36	177200000
Q86VP6	CAND1	36	147860000
P50395	GDI2	35	276560000
P11142	HSPA8	35	678830000
P52272	HNRNPM	35	183480000
P22314	UBA1	35	419240000
Q00839	HNRNPU	34	325380000
P05164	MPO	34	700660000
Q8WUM4	PDCD6IP	34	126950000
Q9Y678	COPG1	34	151480000
P38646	HSPA9	33	483960000
P14923	JUP	33	169820000
P49368	CCT3	33	213740000
P26640	VARS	33	70488000
P23381	WARS	33	990450000
