protein_id	gene_names	peptides	intensity
Q15149	PLEC	143	191380000
P21333	FLNA	108	507920000
O75369	FLNB	99	352080000
P12111	COL6A3	98	871990000
Q99715	COL12A1	88	206490000
P02751	FN1	69	900360000
P35555	FBN1	56	186190000
Q9Y490	TLN1	56	60261000
P98160	HSPG2	53	59872000
Q00610	CLTC	50	71667000
Q05707	COL14A1	50	104850000
O43707	ACTN4	49	259080000
P12814	ACTN1	47	60401000
P08670	VIM	43	692850000
Q13813	SPTAN1	42	19047000
Q14204	DYNC1H1	40	11912000
P18206	VCL	38	59053000
P46940	IQGAP1	37	26107000
Q01082	SPTBN1	33	15506000
P02545	LMNA	32	141990000
Q15063	POSTN	31	163750000
P01023	A2M	30	49214000
P10809	HSPD1	30	130820000
P08727	KRT19	30	228180000
P13796	LCP1	30	85708000
Q07065	CKAP4	29	38391000
P13639	EEF2	28	47458000
P30101	PDIA3	28	101810000
P02788	LTF	28	30941000
P78527	PRKDC	27	6775400
P49327	FASN	26	10717000
P04083	ANXA1	25	119320000
P02675	FGB	25	218720000
P07237	P4HB	25	102880000
P13667	PDIA4	25	41669000
P04075	ALDOA	24	214770000
P25705	ATP5A1	24	93702000
P11142	HSPA8	24	76163000
P07437	TUBB	24	112180000
P60709	ACTB	23	2617700
P63261	ACTG1	23	1216900000
P12109	COL6A1	23	180620000
P06733	ENO1	22	104100000
P42224	STAT1	22	26595000
Q13885	TUBB2A	22	1201100
P22314	UBA1	22	48511000
Q9Y6C2	EMILIN1	22	16741000
Q86VP6	CAND1	22	20464000
P62736	ACTA2	21	190480000
Q9BVA1	TUBB2B	21	0
P63267	ACTG2	20	0
P12110	COL6A2	20	108210000
P02679	FGG	20	277250000
P00558	PGK1	20	116780000
Q14315	FLNC	19	1335200
P50395	GDI2	19	34672000
P40939	HADHA	19	9020000
P00738	HP	19	56463000
Q06830	PRDX1	19	158240000
Q15582	TGFBI	19	37164000
P68366	TUBA4A	19	15191000
Q9BQE3	TUBA1C	19	4694900
P50454	SERPINH1	18	47382000
P24821	TNC	18	47880000
P05164	MPO	18	19319000
Q01995	TAGLN	18	182690000
P15311	EZR	18	14294000
P23381	WARS	18	39585000
P50990	CCT8	18	17767000
P08123	COL1A2	17	877580000
Q00839	HNRNPU	17	21162000
P26038	MSN	17	33673000
P04843	RPN1	17	30700000
P04350	TUBB4A	17	0
P50991	CCT4	17	19356000
Q9Y678	COPG1	17	9922400
Q9Y3Z3	SAMHD1	17	8477700
P05091	ALDH2	16	15431000
P06576	ATP5B	16	106530000
P53621	COPA	16	12495000
P68871	HBB	16	3107800000
P40926	MDH2	16	83428000
P52272	HNRNPM	16	17848000
P19338	NCL	16	16028000
P13797	PLS3	16	12529000
P36578	RPL4	16	26471000
Q9P2E9	RRBP1	16	11336000
